factor_id,candidate_index,horizon,cost_bp,q,positive_validation_blocks,worst_validation_block_bp,validation_rank_ic,validation_trades,validation_trades_per_year,validation_cagr,validation_sharpe,validation_max_drawdown,validation_calmar,validation_mean_gross_bp,selection_rank_ic,selection_trades,selection_trades_per_year,selection_cagr,selection_sharpe,selection_max_drawdown,selection_calmar,selection_mean_gross_bp,frequency_retention,balanced_cagr,lineage_hash,orientation,threshold_q95,components,weights,positive_selection_folds,worst_selection_fold_return,positive_selection_years,top_one_selection_profit_share,top_five_selection_profit_share,development_candidate,historically_stable_candidate,core_candidate
BTC_LONG_743f64123cf5aa59_1d,562709,1d,5.0,95,3,-11.249479035865011,0.069385630392421,129,96.3823539856951,1.2628905232082333,2.2319730360048915,-0.2427644048692891,5.202123943533679,97.80248604226942,0.0011962372307354,507,146.96964285714284,-0.0209913965643145,0.1268123768803924,-0.5732409404335289,-0.0366188021191216,8.183387071591294,1.5248604830605799,-0.0209913965643145,743f64123cf5aa59,1,1.1511605978012085,tanh(x_avg_trade_size_log)|tanh(x_volume_surprise_3),-0.5|-1,4,-0.4476990588670842,3,0.024085482268440792,0.10157153404462274,True,False,False
BTC_LONG_5ac7f75bf91a81ca_1d,439268,1d,5.0,99,3,-29.168157620237388,0.0845265611616158,22,16.43730067973095,0.6227873870206178,1.5397323802067802,-0.1947390442642698,3.198061227903875,333.47449883076905,0.0616545287885069,36,10.435714285714283,0.119734865655938,0.7961658103322622,-0.0729964425471361,1.640283573800483,124.44886358381972,0.6348800505050504,0.119734865655938,5ac7f75bf91a81ca,1,2.7737441062927246,x_return_sum_288|(x_flow_mean_3*m1_return_efficiency_5)|(x_flow_autocorr_72*x_return_efficiency_288),-1|0.5|-0.5,6,-0.002090034284825293,4,0.1975793124985274,0.6579612001440895,True,False,False
BTC_LONG_3db5d6d355c1f47a_1d,298319,1d,5.0,99,3,-55.50172363647386,0.091444217059373,22,16.43730067973095,0.5274122590531756,1.395390840399656,-0.1531616679290763,3.4435003626194582,295.80118114092244,0.0596321602639015,59,17.10297619047619,0.0732008631774361,0.5681871108374379,-0.1689171986191003,0.4333535233585084,52.05045289176347,1.040497860549944,0.0732008631774361,3db5d6d355c1f47a,-1,1.92851459980011,signed_sqrt(m1_range_mean_240)|(x_flow_mean_72*x_volume_surprise_curve_3_12),-1|-0.5,5,-0.1101115645744456,3,0.11871045914320322,0.5039192907276412,True,False,False
BTC_LONG_bdbf1b3c7b72942c_1d,919710,1d,5.0,97,3,-37.09230320502924,0.0510568997280103,99,73.96785305878927,0.3699750208815462,1.3088298978401904,-0.2692693174436266,1.3739962071950624,52.3367567378122,0.0011583522701728,434,125.80833333333334,-0.0985533233160214,-0.1717426156531797,-0.4565462336519917,-0.2158671259374465,0.6975336478499622,1.7008514933283452,-0.0985533233160214,bdbf1b3c7b72942c,1,2.271066188812256,tanh(m1_return_autocorr_240)|signed_sqrt(m1_flow_mean_5)|signed_sqrt(m1_flow_mean_240),0.5|1|1,2,-0.16288743494475166,1,0.04236846020506395,0.13567696682303004,True,False,False
BTC_LONG_c5384017ac052099_1d,955790,1d,5.0,99,3,48.52859631462441,0.0313420863423786,41,30.63315126677131,0.3296138947651641,1.7055810849327198,-0.0777580006488563,4.238970807051123,102.95387490273012,0.0050399926545586,198,57.39642857142857,-0.0209725276125832,0.0363399315434175,-0.4326637864257076,-0.0484730367333029,6.5520911910885244,1.8736703929539298,-0.0209725276125832,c5384017ac052099,1,1.956712245941162,m1_flow_mean_240|tanh(x_return_sign_entropy_12)|signed_sqrt(m1_body_range_ratio),1|-1|0.5,3,-0.21958405904911232,2,0.06728716674105475,0.2397709437760918,True,False,False
BTC_LONG_ae8aa8d84b5efcc8_1d,846121,1d,5.0,95,4,33.28447284120817,0.055363086665332,120,89.65800370762337,1.467492386350307,2.6098310313506894,-0.1766027447273254,8.309567264178794,113.38241143349724,-0.0129647412013841,483,140.0125,0.2102190831929533,0.7013060716783055,-0.5528365442265789,0.380255403497341,23.48915021797297,1.5616285686728393,0.2102190831929533,ae8aa8d84b5efcc8,-1,1.85545814037323,x_flow_sign_bias_72|signed_sqrt(m1_quote_flow_return_corr_5),-1|0.5,6,-0.27948605781531916,4,0.02424331378141452,0.09502494256754086,True,False,False
BTC_LONG_b8be476e31b5ac81_1d,895532,1d,5.0,95,3,-54.44055793265678,0.0542352480645876,103,76.95645318237672,0.1023563547621437,0.5022522878261406,-0.318798209415689,0.3210694155081616,22.095542238775284,-0.0302217738338594,401,116.2422619047619,-0.1591192501991605,-0.4478873876927226,-0.5783151657846606,-0.2751427934338654,-6.243256797518336,1.5104940144432457,-0.1591192501991605,b8be476e31b5ac81,1,1.222301959991455,signed_sqrt(m1_flow_mean_240)|(x_flow_mean_72*x_return_efficiency_288),0.5|-1,2,-0.32498011892584366,2,0.03057968443808841,0.12840774676144295,False,False,False
BTC_LONG_3cd945806cc1e41e_1d,294062,1d,5.0,99,4,15.741577379011758,0.0164417964576978,45,33.62175139035876,0.3882361626094075,1.8481603908578992,-0.1191667154314825,3.2579245068865927,107.61752376068044,0.0204031798044259,202,58.55595238095238,0.2157995945419226,0.9717247565092956,-0.2763369211717104,0.7809292859850204,42.68507434891776,1.7416092249657062,0.2157995945419226,3cd945806cc1e41e,1,1.3028936386108398,m1_flow_std_5|(x_flow_mean_72*x_jump_concentration_3),-0.5|1,6,-0.19848898564788664,3,0.0571700007326705,0.2039977052304422,True,True,True
BTC_LONG_618010b07f5aeded_1d,471852,1d,5.0,95,3,-111.01468983062856,0.0478484527863488,76,56.78340234816146,0.5680523227727692,1.3286498679519805,-0.305914283140502,1.856900295537593,97.3683356027332,0.0489809425520101,408,118.27142857142856,0.2228989007900728,0.807713358651439,-0.3139614452770582,0.7099562833053388,25.94435150851654,2.082852095516569,0.2228989007900728,618010b07f5aeded,-1,1.1635422706604004,m1_flow_mean_60|signed_sqrt(x_vwap_pressure_288),-0.5|0.5,6,-0.09638815744553514,4,0.03938741209241574,0.1468306455132315,True,True,False
BTC_LONG_774a2fa3bbfb3bcf_1d,577815,1d,5.0,95,3,-69.38904208730007,0.0291103624195001,131,97.87665404748884,0.3641989055346897,0.9387822092193632,-0.5221342641127397,0.6975196430626349,46.468291914639096,0.0078534719332666,398,115.37261904761904,0.0384165843114294,0.280954274193064,-0.558117960033258,0.0688323742693036,13.441693111265876,1.1787552422014889,0.0384165843114294,774a2fa3bbfb3bcf,-1,1.2397798299789429,x_trade_size_surprise_3|signed_sqrt(x_flow_mean_288),1|-0.5,5,-0.30520590291393673,2,0.03586884677331243,0.1340987360450957,False,False,False
