factor_id,candidate_index,horizon,cost_bp,q,positive_validation_blocks,worst_validation_block_bp,validation_rank_ic,validation_trades,validation_trades_per_year,validation_cagr,validation_sharpe,validation_max_drawdown,validation_calmar,validation_mean_gross_bp,selection_rank_ic,selection_trades,selection_trades_per_year,selection_cagr,selection_sharpe,selection_max_drawdown,selection_calmar,selection_mean_gross_bp,frequency_retention,balanced_cagr,lineage_hash,orientation,threshold_q95,components,weights,positive_selection_folds,worst_selection_fold_return,positive_selection_years,top_one_selection_profit_share,top_five_selection_profit_share,development_candidate,historically_stable_candidate,core_candidate,tier,mechanism,input_fields,latest_availability
BTC_LONG_aad29e2812bcd407_2d,827873,2d,5.0,95,4,71.32598795406146,0.0267072031650601,92,68.73780284251124,2.236295048713411,2.753701860653507,-0.2227739647993147,10.0384039523109,191.16130745325785,0.0267568355591403,379,109.86488095238096,0.7397785044997667,1.4739529620966738,-0.4294863392407251,1.722472723597209,64.06719929048803,1.5983181947799248,0.7397785044997667,aad29e2812bcd407,1,2.2402844429016113,x_flow_mean_288|(x_flow_autocorr_12*m1_return_efficiency_5)|(x_flow_mean_72*x_return_sum_3)|(x_flow_std_3*x_volume_surprise_72),1|0.5|1|0.5,7,0.02705307116240674,4,0.030039604284162774,0.12095534259038035,True,True,False,历史稳定,主动流与价格响应,m1_return_efficiency_5|x_flow_autocorr_12|x_flow_mean_288|x_flow_mean_72|x_flow_std_3|x_return_sum_3|x_volume_surprise_72,m1_feature_available_time <= decision_time
BTC_LONG_8a7646dc5ccbd0f9_1d,670320,1d,5.0,99,4,186.9806315503969,0.0731046621823858,35,26.150251081390145,0.7500813245789624,1.9592848223933952,-0.130728356156095,5.737709450605609,236.28396574124568,0.0272656416385041,152,44.06190476190476,0.5451220504221299,1.7880513068155437,-0.2353341743283957,2.316374372646118,111.34572684942589,1.6849514991181658,0.5451220504221299,8a7646dc5ccbd0f9,-1,1.5660862922668457,x_flow_mean_288|tanh(m1_realized_vol_curve_5_15)|signed_sqrt(m1_flow_surprise_15),-0.5|1|0.5,7,0.06551099270908906,4,0.04907752550656157,0.19228122150062213,True,True,True,核心,有符号波动与区间扩张,m1_flow_surprise_15|m1_realized_vol_curve_5_15|x_flow_mean_288,m1_feature_available_time <= decision_time
BTC_LONG_a18389afb4e8507e_2d,782370,2d,5.0,97,4,88.30403530963507,0.0780759279077114,74,55.289102286367736,1.0909631884479176,1.9201101690410665,-0.2191237689953199,4.978753302072029,154.5879768044604,0.0561498175538689,224,64.93333333333334,0.5450247372699177,1.4169626866715297,-0.2381314428124664,2.2887558687457172,81.17974182589134,1.174432766099433,0.5450247372699177,a18389afb4e8507e,-1,2.1008262634277344,tanh(x_vwap_pressure_3)|tanh(x_trade_surprise_12)|signed_sqrt(x_return_autocorr_288)|(x_flow_mean_12*x_return_sum_12),0.5|1|-1|-0.5,5,-0.05868629797150826,4,0.039563762287472465,0.1694533156841063,True,True,False,历史稳定,成交重心与区间位置,x_flow_mean_12|x_return_autocorr_288|x_return_sum_12|x_trade_surprise_12|x_vwap_pressure_3,m1_feature_available_time <= decision_time
BTC_LONG_774a2fa3bbfb3bcf_3d,577815,3d,5.0,97,4,40.58296206964929,0.0330008253335147,46,34.36890142125562,0.7134254417318888,1.566766882351824,-0.3513051954321448,2.0307853427965834,183.62164466037677,0.0238574073475037,177,51.308928571428574,0.5339399345457987,1.3251353895201647,-0.3259143713505851,1.638282878822306,101.8060372177272,1.4928882347020933,0.5339399345457987,774a2fa3bbfb3bcf,-1,1.2397798299789429,x_trade_size_surprise_3|signed_sqrt(x_flow_mean_288),1|-0.5,5,-0.1508119948953715,3,0.06163539195679575,0.18381843177469442,False,True,False,历史稳定,复合市场状态,x_flow_mean_288|x_trade_size_surprise_3,m1_feature_available_time <= decision_time
BTC_LONG_a67a467959c6c593_2d,806721,2d,5.0,97,4,121.04237300631203,0.0517675773934241,68,50.80620210098657,1.2773838960039838,2.953399805561326,-0.0707193287126404,18.062726545305335,175.40481223501226,-0.0125709286060154,308,89.28333333333333,0.5310688384699223,1.342632101795693,-0.2603925576580501,2.0394931531312297,60.08550099123105,1.7573313816267249,0.5310688384699223,a67a467959c6c593,1,1.189208984375,tanh(x_flow_mean_curve_72_288)|signed_sqrt(x_range_surprise_3),1|-0.5,6,-0.0344155792462546,3,0.03368836419229282,0.1419304175054852,True,True,False,历史稳定,有符号波动与区间扩张,x_flow_mean_curve_72_288|x_range_surprise_3,m1_feature_available_time <= decision_time
BTC_LONG_69d7c8d06b8ae442_3d,512218,3d,5.0,95,4,67.26307477469015,-0.0061910137116887,74,55.289102286367736,1.1403903061161325,1.76460642724738,-0.2263154197410816,5.038942142876554,164.464412076765,0.0083232442382939,290,84.06547619047619,0.5277507104487911,1.1499628734066594,-0.3952619444331685,1.335192314569064,67.43704081343527,1.5204709918251584,0.5277507104487911,69d7c8d06b8ae442,-1,1.021852731704712,(x_flow_return_corr_12*x_return_efficiency_3)|(x_flow_mean_72*x_trade_surprise_3),-0.5|1,5,-0.26807744484394247,3,0.03398953297099984,0.13687689146576967,True,True,False,历史稳定,主动流与价格响应,x_flow_mean_72|x_flow_return_corr_12|x_return_efficiency_3|x_trade_surprise_3,m1_feature_available_time <= decision_time
BTC_LONG_18736382b197243b_3d,118218,3d,5.0,97,4,21.06301128484567,0.0646281556817107,63,47.07045194650226,0.6590173821825602,1.350531501683054,-0.2746802850025706,2.399216173000523,133.44026095998248,0.0632307546767138,244,70.73095238095237,0.5098503349820365,1.2197061095137975,-0.4181037582992746,1.219434948530385,74.88770134723505,1.5026614246521652,0.5098503349820365,18736382b197243b,1,0.6715489625930786,tanh(x_flow_mean_12)|tanh(x_time_cos_week),0.5|0.5,6,-0.1925150578066061,4,0.035710278804099105,0.14201518793339105,True,True,False,历史稳定,复合市场状态,x_flow_mean_12|x_time_cos_week,m1_feature_available_time <= decision_time
BTC_LONG_6e133e86c2c01d4b_3d,532860,3d,5.0,99,4,4.686534336521856,0.0522595521665128,32,23.90880098869956,1.1005339573593758,2.4455530626641457,-0.1385649566428505,7.942368575887398,336.41716095788496,0.0191270160100206,131,37.97440476190476,0.4906994873668917,1.4742301785027176,-0.2458599518117742,1.9958496036091395,121.60983060921012,1.5883023485725307,0.4906994873668917,6e133e86c2c01d4b,-1,2.0905404090881348,x_flow_mean_72|tanh(x_return_sign_bias_3)|tanh(x_time_sin_day),-1|1|-1,6,-0.11528894785558425,4,0.06505670812045825,0.23431561482248225,True,True,True,核心,复合市场状态,x_flow_mean_72|x_return_sign_bias_3|x_time_sin_day,m1_feature_available_time <= decision_time
BTC_LONG_bc8cc20c800b4673_3d,913913,3d,5.0,97,3,-149.43788896192933,0.0132206181599171,45,33.62175139035876,0.5465783073969837,1.214301756304889,-0.3071252602127242,1.779659240722847,161.80199606882897,0.0292047201290086,195,56.526785714285715,0.4680511063685613,1.2320638223848377,-0.2476532661171961,1.889945219406341,84.42942527795343,1.6812564300411523,0.4680511063685613,bc8cc20c800b4673,1,1.0962059497833252,tanh(x_volume_surprise_curve_3_12)|signed_sqrt(x_flow_sign_bias_288)|(x_flow_sign_bias_72*x_trade_surprise_12),0.5|0.5|-0.5,7,0.023072407349334967,4,0.0461432026716009,0.1843515847011169,True,True,False,历史稳定,主动流持续与反转,x_flow_sign_bias_288|x_flow_sign_bias_72|x_trade_surprise_12|x_volume_surprise_curve_3_12,m1_feature_available_time <= decision_time
BTC_LONG_5740defe528d6e16_2d,422240,2d,5.0,95,3,-1.204560322191196,-0.0048152387128994,66,49.31190203919285,0.4939549209617766,1.046315406313398,-0.24292190677666,2.03338977334767,110.49436145580108,-0.0026612191977423,198,57.39642857142857,0.4577147219964894,1.3094984175207336,-0.2082315423790258,2.1981046520000844,79.91480341824052,1.1639467592592592,0.4577147219964894,5740defe528d6e16,-1,2.830466985702514,(x_flow_sign_bias_72*x_return_sum_288)|(x_flow_return_corr_72*x_return_efficiency_curve_72_288),-1|1,5,-0.03649309628188335,3,0.04102798568376749,0.181442641320554,True,True,False,历史稳定,主动流与价格响应,x_flow_return_corr_72|x_flow_sign_bias_72|x_return_efficiency_curve_72_288|x_return_sum_288,m1_feature_available_time <= decision_time
