,BTC_LONG_aad29e2812bcd407_2d,BTC_LONG_8a7646dc5ccbd0f9_1d,BTC_LONG_a18389afb4e8507e_2d,BTC_LONG_774a2fa3bbfb3bcf_3d,BTC_LONG_a67a467959c6c593_2d,BTC_LONG_69d7c8d06b8ae442_3d,BTC_LONG_18736382b197243b_3d,BTC_LONG_6e133e86c2c01d4b_3d,BTC_LONG_bc8cc20c800b4673_3d,BTC_LONG_5740defe528d6e16_2d,BTC_LONG_022fc44040f52195_3d,BTC_LONG_a800262f87cb7ffd_3d,BTC_LONG_665a553ed9e4f0c9_3d,BTC_LONG_a7a53d44b1d1b10b_2d,BTC_LONG_32790d4266a3dbf2_2d,BTC_LONG_81c364516a41a911_2d,BTC_LONG_7fefaf095239c223_12h,BTC_LONG_ad3c541b70ce7c4c_3d,BTC_LONG_6e6fadb75ad48781_2d,BTC_LONG_978f94cff6100d1d_2d,BTC_LONG_5d47cc6741d7c67e_2d,BTC_LONG_986eab606b120088_2d,BTC_LONG_3ebd17aa694e737f_3d,BTC_LONG_8f4cb2e57d3d016e_3d,BTC_LONG_9d731ebe50ebbe65_3d,BTC_LONG_53f081fb7aa13377_3d,BTC_LONG_13ea5183446add0e_3d,BTC_LONG_546aae11ff7d6499_2d,BTC_LONG_6360988c96987bed_2d,BTC_LONG_3cd945806cc1e41e_2d,BTC_LONG_ac1d6d98aba0a2cd_2d,BTC_LONG_149214ecb27245d8_2d,BTC_LONG_290035753dfa1e36_2d,BTC_LONG_301412f1a92aaecd_3d,BTC_LONG_4a707af33475c4b3_12h,BTC_LONG_9bf33e9f6e490f1f_2d,BTC_LONG_3d382c6b95774870_12h,BTC_LONG_112acbae6242f1c5_1d,BTC_LONG_7e8a41a51ae079da_3d,BTC_LONG_618010b07f5aeded_2d,BTC_LONG_a1079e0a77d7f501_3d,BTC_LONG_bc16b6bea9830967_2d,BTC_LONG_110acf71418c051c_1d,BTC_LONG_7f23a3dead14afdf_1d,BTC_LONG_6acdbb3b70568efb_1d,BTC_LONG_25e9a00db8b7a09a_3d,BTC_LONG_25b726f17bdbc7e5_3d,BTC_LONG_21f85655a3d4dbed_2d,BTC_LONG_66839828a010ad14_1d,BTC_LONG_c1626e74d2f236cc_2d,BTC_LONG_3872f77e98ff3b88_1d,BTC_LONG_3327ddfbab14e535_1d,BTC_LONG_25abe5371fffe146_3d,BTC_LONG_234317c3f71f1454_2d,BTC_LONG_54c24918a2d046b4_2d,BTC_LONG_ac6867f81c702dfd_1d,BTC_LONG_c5f939c61dde6693_1d,BTC_LONG_6d14459a98f6eceb_2d,BTC_LONG_5b55989455e686eb_2d,BTC_LONG_0777fdef3d9cb3fe_2d,BTC_LONG_09ea97ee62d22743_2d,BTC_LONG_00496e0a18c5c27f_12h,BTC_LONG_8c198db3ea178cb2_2d,BTC_LONG_5fcd25c8e6a72764_2d,BTC_LONG_a7dad690be812564_3d,BTC_LONG_1a18cc95e5440427_1d,BTC_LONG_9044a6d8eaac417b_1d,BTC_LONG_3c323377de3e4078_3d,BTC_LONG_7633d7a44ab2b4b5_3d,BTC_LONG_8d4a1327987b861e_12h,BTC_LONG_b69cfade287b0e6b_12h,BTC_LONG_27cd54206caf7f3f_3d,BTC_LONG_721f882d099afd18_3d,BTC_LONG_94dd72fe1d374b6a_12h,BTC_LONG_8a84f7adec6f2c5d_12h,BTC_LONG_044d4841e5e18788_2d,BTC_LONG_b16e26d3230fb605_1d,BTC_LONG_8d967f7e7ca4eab1_2d,BTC_LONG_3fc88102a54ee0ad_12h,BTC_LONG_68a3d0b0c63c3b13_2d,BTC_LONG_82eb18af626016be_12h,BTC_LONG_0fd6615935a42929_12h,BTC_LONG_a92d11c420091618_3d,BTC_LONG_3bf312a1be80dfa7_1d,BTC_LONG_ac861e14bae89319_1d,BTC_LONG_06bafab89a238836_12h,BTC_LONG_a864e0a32e9d3bfb_2d,BTC_LONG_0c7f2f1a3357a313_2d,BTC_LONG_845287272ef90cce_1d,BTC_LONG_7959fffc20283c3d_3d,BTC_LONG_19ec377e06899c5b_2d,BTC_LONG_724dd62221db474d_1d,BTC_LONG_b7542b0106e09467_1d,BTC_LONG_6e2a45b1c1f2f36d_2d,BTC_LONG_a5c815ef1d70fee7_12h,BTC_LONG_225799ddff2477d1_12h,BTC_LONG_39c4aa3f69b92e78_1d,BTC_LONG_6e5a22a16dafcf43_12h,BTC_LONG_023dd7bb9d6ce9ce_2d,BTC_LONG_4a5320eb6a3bcada_1d
BTC_LONG_aad29e2812bcd407_2d,1.0,0.07531621957012317,-0.03578258749705335,0.10704421511845515,-0.04496903227742057,0.12002487247236,0.14767095618826598,0.09674523028700624,0.2025022144175389,0.02349224116829017,0.0197483285063901,0.14174758039166627,0.07353565674942561,0.1414728553161068,0.12017662041324675,0.004825559564774721,-0.10214711234512762,0.11308757126215016,0.058341531469944856,0.03584111791242546,0.07925454692496005,0.08349434132292992,0.1427570163266035,0.12354407355852386,0.2189041084176681,0.12558837636867198,0.23407561609954547,0.0609628233164361,0.14792348065319405,0.06874650307416201,0.17777536906668004,0.18161146334933329,0.06948458505179096,0.20365367970717424,0.02417434777288342,-0.011066756599762594,-0.10171939327834717,0.036971122037586346,0.04119690088118737,0.10672149163092949,0.004442700279476585,0.3452823697819565,-0.05628270469884897,0.057839538188647795,0.048063600369673144,0.1018094120112302,0.14175080020959435,0.11446579391170063,0.1977212061034538,-0.04618563455317042,0.03859234083639927,0.04681140178348353,-0.04297851040898002,0.1822199224322028,0.25785601749689835,0.0018191299497597227,0.10482958473604923,0.1676888308192814,0.048599136382014484,0.11035378003057893,0.18675359473739078,-0.04999855821279299,0.11940176696225452,0.10903404104477671,0.09956291295824952,-0.06427720234413477,0.02875055212996499,-0.013537878345048177,0.03108433222138506,0.08906954581474928,0.010438481306788743,0.11500337656208046,0.22121312073446134,-0.11115434629515693,0.03123775271512778,0.016424091242762458,0.055690680430435534,0.20095306786426936,-0.17351354461715343,-0.09833754220566893,-0.06324552665470613,0.19298434931109365,0.22426048365282988,0.2308611599141429,-0.06427367922032849,-0.056346081586612244,0.1444337622066412,0.26888847221890694,0.07363446202906268,0.1018600293623301,0.10747373584377622,0.18023020009392526,0.008553950725874919,0.014878967823650195,0.023612523035963513,-0.006494025546051269,0.009510157506195584,0.041374240925422745,0.20546308290016016,0.03397066155962407
BTC_LONG_8a7646dc5ccbd0f9_1d,0.07531621957012317,1.0,0.2600800868381768,0.3901322346985427,0.2725312853995641,0.028631194249402088,0.011664898961826719,-0.00818650430263312,0.09258380990949758,0.061977639042089055,-0.05026653010613585,-0.07029377095687452,0.034894110514836874,0.004995453811087129,0.349459909031676,0.21848810353312043,0.016866078938422836,-0.020003157352080785,-0.038576606565651324,-0.1264095836130794,0.09670989683866826,0.019346107620044677,0.3789634922492015,0.07823660372554592,0.10184254256860859,-0.0011619782292495472,-0.0734097169646933,0.048824908225101056,0.27899019663604735,0.18532366096375355,0.14344405716476755,0.06840817664918737,-0.3907817879310823,-0.00734299156091211,-0.08747998532864439,0.09406391967843175,0.13188903049560777,0.16534699196437497,0.022077277737151728,0.0698593894741445,0.2318151804136609,0.10898752557812692,0.011051093651382151,-0.018617876353247,0.19678474501490553,-0.0386237202334111,0.12488947792583112,0.14098224105814827,0.32380396458292166,0.3241429773254662,0.06119534777186483,0.21009116132512112,0.10138369238995913,-0.021778895118379698,-0.31367773067814014,0.09670688719301514,0.010810342995070868,-0.030476028432503667,0.019558307290155147,0.03123372146004846,-0.041074189782340224,0.1585255562741867,0.03878665108609984,0.04268646998763096,-0.22207810604718908,0.22040114737009242,0.01808313512885751,0.23709381009046684,-0.02884651367796181,0.24238629986164306,0.07972810404885568,-0.031096155766454702,0.1544568884977066,0.018828425802332495,0.045332536487276386,0.02330332475434593,0.1392977207229972,-0.0985983462705704,0.10908537814981112,-0.04425624724627174,-0.03423963076072829,0.25525948388342307,-0.018304498162056603,0.10617858412919357,0.06921182161138512,0.25478087123277837,0.06405473294971595,0.0688521843178277,-0.03655588370715497,0.05914554193004071,0.03203538543308307,0.2669685010431587,0.32666456149701656,0.027443843019401202,0.19719066000542035,0.008063781908405924,0.039313406322745985,0.20470067354964877,0.009049343627655953,0.07291072382006852
BTC_LONG_a18389afb4e8507e_2d,-0.03578258749705335,0.2600800868381768,1.0,0.2284209413468682,0.16234088309798309,-0.007585851906983269,-0.0348136213183455,0.10210546978799108,0.2179979660756857,0.070694883289587,-0.039047392246722115,-0.07113012763718503,-0.007240282474959305,0.037677304481059576,0.17869631959102455,0.4382787716304765,0.12663789227291433,-0.11960181150745379,0.005811381784524547,-0.04813542031795194,0.10307057010055012,0.03232804370143921,0.1380444210276765,0.062137178800108314,0.421486568631744,0.026461030895450776,-0.14322520519432663,0.04350240367109695,0.07922443460893733,0.03795231584916812,0.014175190034499628,-0.020697088730024408,-0.07716159094524803,-0.03748791907410809,-0.057217996327387416,0.07398025970981296,0.06387812533965813,0.10595613998865887,0.07803620068021208,-0.01978059610475835,0.1735022536053312,-0.0023878904253299424,0.1415528598265782,-0.02236906067481762,0.2940680982932693,0.010035553330695302,0.0352795235646837,0.11430014129950841,0.136431516532359,0.3470463410705077,0.011284334731610965,0.0004570062092001578,0.13668548429603677,-0.09713454003765584,-0.04584670297182275,0.07838242373432533,-0.05841538891813751,-0.0028175685401717852,-0.009013209109485035,-0.001818484996864556,-0.009630488373723028,0.07841751692487814,-0.057898688240514785,0.03530923378936665,-0.12240248380135614,0.1543582287123168,-0.06649860503875285,0.11496203450334311,0.023711339702357462,0.05480914175083978,-0.03210822001783332,0.0902900253059263,0.08049423822913304,0.008862134603644923,-0.0843204511973548,0.08157169720820615,0.10746853356938794,-0.22049929069053262,0.01887812498248579,0.0028991972007346824,-0.07110536230084359,0.053100046733577703,-0.1120299978259797,0.04884921879763792,0.04970580790716575,0.14281787766068965,0.015217840741055874,0.046486409235273515,-0.09990818949772641,0.07580523141807445,0.037117874880354604,0.15575280180950205,0.20554953446932955,0.09857789679599405,0.09443121515145146,0.02635166453587706,0.023276565342358734,0.12236374261185592,-0.13465800914367798,0.07451842180140511
BTC_LONG_774a2fa3bbfb3bcf_3d,0.10704421511845515,0.3901322346985427,0.2284209413468682,1.0,0.333432166391502,0.03870676067697447,0.06540880881236134,0.07436626230433768,0.17703662384976473,0.022039236312223324,-0.038897462014426815,-0.06594811057514859,0.08720981546126448,0.0222902546691988,0.18013467613014983,0.05675082145064963,-0.04392412598453952,0.026927433071637207,0.025400984788173743,-0.06326999914879695,0.05048693884653207,0.05946546864498445,0.3459193955185221,-0.004573213300198608,0.13777925426630308,-0.0013817997458204303,-0.02265121258446827,-0.01131237267250189,0.13628322358208683,0.09079901159995175,0.15812789200081673,0.10019157794499176,0.03177924645090129,-0.034606841451859695,0.02631651575994512,0.033395944908192005,0.020907784302206897,0.022428045064940297,0.0008043752854654628,0.06869893810109812,0.05460263866893915,0.0928489535714275,0.00948562178437375,-0.07208465864731044,0.3178769709232721,0.09712430953951938,0.05710507467769315,0.11795771333412608,0.09351823878658531,0.399705741649532,0.05876659326193458,0.007665541170006003,0.23679903641304137,0.006690112106084494,0.18373782851617804,-0.030122973779949956,0.03758968372790091,-0.08557637396724858,-0.001750012781547651,0.07455549031626774,-0.03430942366160336,-0.02944239426059387,0.06587808263844393,0.003214520551883574,-0.28143813615751306,0.010851426060868247,-0.0596098458547146,0.06133145346541144,-0.0025523534727616547,0.08734051750820175,0.031137985104028564,0.05889371812602544,0.10757012710431026,-0.0544216458450051,-0.017189347951037943,0.006954911748860114,0.028594930903975652,-0.20998663277756674,0.1968312201557538,0.023897903386705773,-0.16790447874266398,0.1839462109178182,-0.020085978851734902,0.1673455116998243,-0.011359217181884559,0.008854017171528426,0.10835060770570909,0.1424923711133747,-0.31107653582836486,0.06653696609621354,0.06939300657181634,0.38172737751110813,0.0880757692771934,0.0447496450409652,-0.046578040178918326,0.008460774766445744,0.04648328852847427,0.33377574553778705,-0.07676020023264996,0.07309836015560009
BTC_LONG_a67a467959c6c593_2d,-0.04496903227742057,0.2725312853995641,0.16234088309798309,0.333432166391502,1.0,0.19017969913511829,0.2137900496021605,0.15318632559170314,0.0064274381178904055,-0.011895393711778298,-0.05186287643855244,-0.06633833139479255,0.21944244814217284,0.20299614884758668,0.34003427770265593,0.05071841872143848,-0.20315732164935432,0.11062420369635095,0.04110752064392378,-0.0331376666387238,0.09066425133816877,0.15108053586147246,0.17776321024181244,0.005609415845185009,0.43116525864340466,0.02209570015437804,0.23702642850720365,0.12313999377655022,-0.08507923210395957,0.05740114063490649,0.394551919005445,0.26319853314972935,0.11931765443721751,0.18418172878206404,-0.005735752994127189,0.4011761925740258,0.14617403034082843,0.0017721872343710913,-0.016339452093913725,0.13029542019771945,0.06084176389952168,-0.057353765753848956,0.32222097296318336,-0.11276453317366208,0.2025895363576371,0.001119423743633543,0.05436710410936476,0.17424385099065712,0.10502510063732015,0.44700630945393316,0.13020801079962271,0.06528563997051078,0.15628026732001868,0.23094156155606768,0.02275186657197331,0.3159221353955407,0.0935713037162412,-0.056861414248967034,0.00557518125830184,0.2473875017016261,0.017191743968069786,-0.010767480378743909,0.22749150309298255,0.028530636623889338,-0.17020257821767137,-0.09892365463936365,-0.0120561179355534,0.4103777933709448,-0.025909803970270137,0.03232422471818602,-0.022147760710574487,0.24396531062206075,0.26006209278020004,-0.026403797251600313,0.04645941141219314,0.043224906642396206,0.02545604813621381,-0.06963652406918094,0.04660918626236922,0.024335313353254836,-0.06071019477989135,0.018979505939369958,0.05741757074508206,-0.05815462701961894,-0.009387434721772267,-0.024415356365912116,0.2822075327824585,0.005379821888897369,-0.223590676740532,0.03599553734854355,0.24412218926206852,0.21411525561495448,0.03811791867978456,0.060159188363186136,-0.04846917201875264,-0.003158489066681098,-0.16158482018029358,0.11107928948161878,0.12163913451287292,0.04271166256196427
BTC_LONG_69d7c8d06b8ae442_3d,0.12002487247236,0.028631194249402088,-0.007585851906983269,0.03870676067697447,0.19017969913511829,1.0,0.09249148399525313,0.11807824219124638,0.21873082808856845,-0.037827774364679975,-0.016740122187348862,0.18516418792368733,0.11869255670860938,0.12333389182187289,0.1164844408177944,-0.01069163147797432,-0.027397716697333485,0.015358331333186117,0.05273738240611251,0.05766672266237025,0.07300743113357794,0.3434893564988357,0.097403040775799,-0.019133491549197176,0.19484128958855554,0.052731750518304484,0.15213930905761885,0.022995758704162227,0.0024141809825761243,-0.10051827403023453,0.14676758452617042,0.06241703491611935,-0.029345020563749113,0.1094543714724558,-0.03482152522561818,0.10421732508212124,0.03128489725349244,-0.030935405251822996,-0.04863739498329457,0.04842185840443216,0.006462133216680585,0.07569956060556239,0.09460518041800452,-0.10626422072568635,-0.03797743083933092,0.08830268745431914,-0.08757347451334337,0.05493005703777382,-0.01970912977035959,0.24953184471567327,-0.06400920269911467,0.015040178847643925,0.01247735038474651,0.0011253052841697696,0.08439670270555782,0.0004925377877532507,0.025843004141638336,0.024078342765108257,-0.058019615549074026,0.26246939309938894,-0.02139313669274504,-0.04674221248669633,0.003441165048987292,0.208168535121943,0.03985399504618341,-0.10181784921632349,-0.03733603967720824,0.0748131454527133,0.09308696279985566,-0.11909468750997375,-0.03596461142369242,0.14869732226298468,0.26046913811858813,-0.07221863308788028,-0.06191365160238316,-0.0426212808351623,-0.02264320287341366,0.0893567255501243,0.07650709572118242,-0.1965046099975036,-0.06941227115603921,-0.0033377940204534543,-0.03043935881629645,0.1205977347483859,-0.04802304518145737,-0.005690000535932655,0.49157581837548725,0.06465388196863119,-0.0014151493377733688,0.07800615213848608,0.10082733390010767,0.23064992411122553,-0.04269968614133486,-0.18374831336225303,-0.009356241368589547,0.009449750449570816,-0.018567085465406172,-0.17195849574303249,0.14809438206358147,-0.06827826416404534
BTC_LONG_18736382b197243b_3d,0.14767095618826598,0.011664898961826719,-0.0348136213183455,0.06540880881236134,0.2137900496021605,0.09249148399525313,1.0,-0.06709140126106583,0.0932609241545277,-0.024057686704016177,-0.01081085366094869,0.0910664145603891,0.1253776623818425,0.5447230982028171,0.13144559285066915,0.0270291633902909,-0.41174308867187404,0.3551640779994047,0.06157851134921341,0.04591327908394258,0.036976995049763525,0.05928621948579203,0.04857992779964017,0.07196810082063096,0.24211489517764653,0.04406918578857929,0.22679453190106788,0.04350026710017438,-0.004652106064491956,-0.009480860394116324,0.22055977391400494,0.23398164181630504,0.16160548814301878,0.13707835737280052,-0.030237511538139084,0.14951507087674076,0.05831663999666784,-0.024450143683266125,0.015007331657066653,0.3998339804528841,-0.044159598406934016,0.14199418626641674,-0.054870510234763664,-0.07529118692725993,0.0327293500840653,0.09214954078277222,0.022427668340329804,0.06775865796137749,0.05489179772604499,0.06388298077819735,0.14167372015634763,0.09464131410305997,0.04478125294750394,0.34543744835477896,0.1552648237774576,0.07254157779812045,0.24907042237772067,0.012800015950865542,0.02737742392380027,0.18145760729042718,0.06578928622407305,-0.0685364250889151,0.46582992253907596,0.1390859767818291,0.0051698347451749225,-0.30601246333249527,0.03871085816447142,0.030551198767361842,0.5635746998659042,0.006549524197203535,0.028810132983659788,0.17113042803749035,0.12357022170094559,-0.05773223925244719,0.08610865022130533,0.07167323472549017,-0.021038209342399583,0.11158548822127422,0.11260208641252291,0.014187177866618992,0.02248777908353222,0.033974718262916814,0.16854609730795417,-0.05527729901857655,-0.1392037216845569,-0.18474537742291722,0.14723123445401382,0.12452988907757098,-0.01999760931365642,0.0911989270679506,0.22338655707287927,0.15568953618286488,-0.11240804825159746,0.056858277348198344,-0.09933220289221277,-0.044425603236184004,-0.11852521097896132,0.021073621587495383,0.19599819971853688,-0.05798263813823525
BTC_LONG_6e133e86c2c01d4b_3d,0.09674523028700624,-0.00818650430263312,0.10210546978799108,0.07436626230433768,0.15318632559170314,0.11807824219124638,-0.06709140126106583,1.0,0.10119995990391047,0.020738699461942497,0.028837770647322254,-0.06574349062834858,0.030868100927008358,-0.0866601965127065,0.14954537343538674,-0.02743077641850645,0.4171372111103906,0.035329376011695585,0.07698723062336572,0.0253022102757822,0.20155172490940695,0.11092389386522485,-0.005775852332376812,0.013763669366780903,0.18663330329277847,0.05101526370048199,0.163416590150537,0.06641024511069757,0.0837540384403843,0.003036626035354617,0.1757086505832001,0.1106744971919202,-0.10428279179307488,-0.027916823745955253,-0.1487813190768177,0.05511533233864778,0.020177712359168612,-0.01902222244529946,0.036127937945265504,-0.02941316691556521,0.11338472550859653,0.08466695301854385,0.5960685823830555,0.05482897728178924,-0.0005959526784614246,0.0902268646241682,-0.00550025749833727,0.07529115307114156,-0.10072322297123715,0.04166658494354882,-0.07151750921647913,-0.002148036646114212,0.010800944594319658,-0.326703877987644,0.0040060307813926015,0.11811418899029456,-0.05636845049227667,0.08467494117413366,-0.02607726536177942,0.0464228609269445,-0.040429764534976806,-0.009404692281520386,-0.11628267728611946,0.056498225891257324,0.03795823294139165,0.0924031851872992,0.023197408472056587,0.018853524520900722,0.056240221002621216,0.004868753831571298,-0.14161008082259108,0.14405736046232107,0.12197295342304143,-0.032291908840746085,-0.34357383850819634,-0.027585229150273564,-0.00493375845196822,0.08108940740946084,0.08088403517761589,0.034873219997568795,-0.11354694786389552,0.020465789347676597,-0.32784162610203293,0.2153136631570966,0.08947396524111875,0.2098069856518612,0.17614267931406874,0.12156203079307218,-0.027164104287358194,0.06367493243364371,0.20429350625395368,0.17170437713128558,0.07799864388000136,0.028904209472308314,0.0728207289515922,0.038145197150281654,0.13231275409256,0.1055920007230279,0.023193513720418377,0.0003086711314190699
BTC_LONG_bc8cc20c800b4673_3d,0.2025022144175389,0.09258380990949758,0.2179979660756857,0.17703662384976473,0.0064274381178904055,0.21873082808856845,0.0932609241545277,0.10119995990391047,1.0,0.00863138962454913,-0.10684724218623824,0.11335920330750633,0.13991141678535415,0.08349505931609709,0.22414177148871675,-0.05248575092001366,-0.008765858942577762,-0.013449456596979043,0.08827721158398585,-0.07410544181248571,0.08088433315787702,0.36234609168767057,0.40220868708222285,-0.04396389043777468,0.1592223390000062,0.04443502915622006,0.018725102237815105,-0.0929334488604878,0.14453699164039846,-0.041565522373729936,0.18124580618385552,0.10071999631128739,-0.04881997583466177,0.014367875889369318,0.023841771081796703,0.038181117702488,-0.07038831582429202,0.013970640974979702,0.0013704834933321024,0.08241157607577804,0.07151541964085678,0.18777370968934234,0.00969871712447403,-0.1169753735163106,0.031823135882079676,0.2504604739500907,-0.0066272638801190805,0.10810804896655477,0.019910150882541052,0.34860484077054277,-0.05275776261791986,-0.04379002676758718,-0.14485735163056662,-0.053926780619208095,0.2563813331732589,-0.12693781645339086,0.05814017145718627,-0.1435420286432399,-0.02146436235395082,0.19197507215188367,-0.06694689634343348,-0.07582554380630753,0.08696314697185263,0.13517444651257252,-0.08318362331998239,-0.06353588776316613,-0.22167968221586742,0.02940407592645294,0.03916783301462329,-0.10159545991729757,-0.003130677205249086,0.13606828910329688,0.09002379425206482,-0.1303951481196667,-0.09537633371240278,-0.018346983633971144,-0.04065797086316312,-0.18100631504126813,0.32131552008696734,-0.01707523945889265,-0.13458807662737554,0.10738181564782634,-0.0540814706516523,0.3055255672497948,-0.0674311285575862,0.02789616032829362,0.28686489828643674,0.3068679820085666,0.004281694915263035,0.11353592646403639,0.04108933368510524,0.3167613340303801,0.054116454733681825,-0.09249332529270794,0.013490052736305744,0.0861718036087207,0.15128018158557396,0.256591707532014,-0.030208239151700778,0.06948315332818852
BTC_LONG_5740defe528d6e16_2d,0.02349224116829017,0.061977639042089055,0.070694883289587,0.022039236312223324,-0.011895393711778298,-0.037827774364679975,-0.024057686704016177,0.020738699461942497,0.00863138962454913,1.0,-0.02453954061589447,-0.020507675527970625,0.09507098833274093,-0.052251751417959895,0.0789427118420523,0.15279952081943826,0.018712006353372616,0.012225234170735714,-0.016277649198242948,-0.04432471655857327,0.008397216156758583,-0.03066498533647636,0.05792754708198402,-0.034930313825133064,-0.07789860419780832,0.05925177934303626,-0.030294917542917094,0.1445286133895396,0.057939228661908475,0.04795978238832998,0.11368663528442943,-0.024114163271680044,-0.0044752995766987,0.004769708358702729,0.008712072982096919,-0.026632316500849677,-0.01778621770167806,0.01389413561908525,0.5124831652094148,-0.03728418181892255,-0.004595752199184627,-0.011375084805284283,0.006500911244243604,0.01457858151347404,0.057175875408137476,0.17430755838879716,0.13920541876732107,-0.017790856487030732,0.1545302500928842,0.09904354551491622,0.0368609320375387,0.03602121583210063,-0.0019595815031755908,0.00909557231328609,0.07275774797969795,-0.0148567470256994,-0.09026189725140979,0.017650717360768352,0.050532353053488556,0.12579346604814304,0.004418610118275818,0.008772553464001409,-0.03123577098887708,0.2756887967503739,-0.014759565660672188,0.11179070021046056,0.07479036350598685,0.055865122694757234,-0.00103261362471612,0.07514699919892771,-0.006432485791198828,-0.06613238283497813,0.191911493366624,-0.03020324522748571,0.044997124882557235,0.13883094901450765,0.12589989393811588,-0.047115576029329954,-0.005441531522743298,-0.011536348003472818,-0.03533897029705553,0.03386972415306185,0.009363035903302931,0.02396952476950734,0.2388259024811907,0.0773817048096515,-0.0460286118988169,0.4625507428940753,0.01372256488954347,0.03553939144426093,-0.001186781579469333,-0.0014903145513407137,0.08280213754641184,-0.023905130679362056,0.05449291972935032,0.1643326893889321,-0.09945835701055715,0.027940303209093395,-0.047232956387103855,0.06974325933362337
